destination,modulation,launch_power_dbm,ok_configurations,mean_gsnr_signal_bw_db,mean_osnr_signal_bw_db
bradley stoke,QPSK,-6.5,255,25.77730588235294,30.98
bradley stoke,QPSK,-6.0,255,25.12418431372549,31.232545098039218
bradley stoke,QPSK,-5.5,255,24.400654901960785,31.47
bradley stoke,16QAM,-6.5,255,26.129133333333332,30.98
bradley stoke,16QAM,-6.0,255,25.50387450980392,31.232545098039218
bradley stoke,16QAM,-5.5,255,24.80472156862745,31.47
froxfield,QPSK,-6.5,255,6.859949019607843,30.66
froxfield,QPSK,-6.0,255,6.849560784313725,30.89025882352941
froxfield,QPSK,-5.5,255,6.836011764705883,31.11
froxfield,16QAM,-6.5,255,7.466678431372549,30.66
froxfield,16QAM,-6.0,255,7.456466666666667,30.890345098039216
froxfield,16QAM,-5.5,255,7.442588235294117,31.11
reading,QPSK,-6.5,255,6.724925490196078,28.987968627450982
reading,QPSK,-6.0,255,6.739305882352941,28.972482352941178
reading,QPSK,-5.5,255,6.745180392156863,28.919686274509804
reading,16QAM,-6.5,255,7.330870588235294,29.02285882352941
reading,16QAM,-6.0,255,7.3454,29.012003921568628
reading,16QAM,-5.5,255,7.351094117647059,28.963733333333334
powergate,QPSK,-6.5,255,6.347658823529412,28.21870980392157
powergate,QPSK,-6.0,255,6.495109803921569,28.028235294117646
powergate,QPSK,-5.5,255,6.586207843137255,27.77366274509804
powergate,16QAM,-6.5,255,6.954537254901961,28.266482352941175
powergate,16QAM,-6.0,255,7.100988235294118,28.081898039215687
powergate,16QAM,-5.5,255,7.1913921568627455,27.833549019607844
